,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_jump_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_jump_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_jump_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Ethereum_jump_60d,crypto_Solana_sign
2019-11-26,0.01684664222096348,-0.5932399850877862,-3.310464894321156,-0.08056243071005172,-0.5245525984489413,-1.4034512254994083,-0.20767607316945827,-0.9906145163511553,0.2955169256928356,-0.2516658562112472,0.8063905635751957,0.7247278041084844,0.0,0.6600645093639967,0.6729094075907553,0.0,0.5138295613485206,0.5972458831189676,0.0,0.5088384303969227,0.5658958411009032,0.0,0
2019-11-27,0.026795066019323202,-2.1889270482763847,4.82852980302543,0.018085413321589194,-0.4774245467300434,-1.476104504929804,-0.19049318311738633,-1.0274648696844781,0.2539343718536594,-0.20581027371206417,0.6692511072267847,0.654680888552546,0.0,0.6872832009312879,0.6619533096014042,0.0,0.5316356919934829,0.5977025925345981,0.0,0.5123987091395613,0.5643178440746345,0.0,0
2019-11-28,-0.008486198833893562,-1.6694690339807854,2.5802254165594563,-0.011144091350967021,-0.6153355425831959,-1.362451457240044,-0.1740401879887351,-1.0919777588335884,0.3824302854086952,-0.19406366582541842,0.6541272954970393,0.5454358789392677,0.0,0.6882972638096007,0.5989424678964319,0.0,0.5303556647160498,0.5685288664478158,0.0,0.5106378721246402,0.5550848194922583,0.0,0
2019-11-29,0.023364740650403074,-1.8939205203262794,3.615790416550863,0.08369744608204369,-0.7786664022831231,-1.3377040784788008,-0.13333468704982537,-1.0710645430999304,0.27995567740503263,-0.17512556584489206,0.23175562282124876,0.48583945072735674,0.0,0.7180892384516603,0.5752640991821929,0.0,0.5411971655885132,0.5616669388692386,0.0,0.5002962714479297,0.5518648226033389,0.0,0
2019-11-30,-0.0179606623433838,-0.5946553647887177,-2.4688593627025575,0.040559587713412504,-0.7122508582717552,-1.4218004018346793,-0.14134378635214634,-0.9995766349482826,0.26694212542575724,-0.21684430900505983,0.31880511305495357,0.4518242588435084,0.0,0.7181586233422544,0.5315248091732986,0.0,0.5280551562567943,0.5376413074781409,0.0,0.5007352083930093,0.544185406096253,0.0,0
2019-12-01,-0.008915731236824648,0.46407276834879263,-2.950051163328128,0.01479721425562438,-1.0813548034551645,-0.12413131558918826,-0.06576521645442752,-1.0679118471989562,0.4027574766008364,-0.2044899467062001,0.32670130430190136,0.3752229970107947,0.0,0.6015861601355589,0.4817390499243939,0.0,0.526638405258897,0.5115235457969262,0.0,0.498910657788557,0.5353363944620553,0.0,0
2019-12-02,-0.014165817968262436,1.9179109548390822,3.948953812660465,-0.026163669731961256,-1.430620683906431,2.3823695481601215,-0.008078256410372247,-0.9927091657231173,0.34953068233702284,-0.22592764653950326,0.2612990778316908,0.3192038847956759,0.0,0.4846577418306058,0.4396870163313391,0.0,0.5226749541165284,0.48783600842463826,0.0,0.496062988623483,0.5271829973665716,0.0,0
2019-12-03,-0.007425485871923782,1.8715808002468053,3.785606724436685,-0.025102956769991476,-1.2658983196185447,2.336748995869852,-0.03624704812095868,-0.953350490290645,0.3652769550221106,-0.24089953366525388,0.26057453574804346,0.26065034488598054,0.0,0.46999251148380866,0.39773773748576435,0.0,0.5181988982868111,0.4640246811863487,0.0,0.4954278077219134,0.5185155145237808,0.0,0
2019-12-04,-0.008202707187182738,-0.9242039788101216,-1.1364167579352547,-0.05667040460757729,0.4323587866908916,-1.9603815246043328,0.027027041474466208,-0.9720181164662272,0.3880618131073234,-0.23702963500716917,0.07225140082964873,0.21299920510764483,0.0,0.2852372694415944,0.3598731621126542,0.0,0.5183782026612204,0.4413891528498667,0.0,0.49554203010352943,0.5100231272703014,0.0,0
2019-12-05,0.01690093481664711,1.9594310836793105,4.18824431646888,-0.02180880744754638,0.45432740276327227,-1.8091685033017488,0.018750780265865945,-1.1331184843242954,0.6317028182315925,-0.19023210252859982,0.19330100985286489,0.26823057140647805,0.0,0.2695740061853335,0.360483286463069,0.0,0.5233636205986386,0.43580995297972486,0.0,0.49609397417476775,0.5055206829542956,0.0,0
