,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Solana_sign
2021-11-09,,157.40304384613276,181.15854054148235,184.36277565366638,168.49023708711292,,183.83105186187672,,,,173.87514813376063,198.10138850956386,98.87509728906778,102.9354594373316,89.9753189677586,76.19169054247217,29.982854125481268,20.04452552566807,0.0
2021-11-10,,,,,170.01508641934237,,187.40797294702696,153.63573707686703,,182.29385013031882,173.47652742866296,197.73399406975327,99.27927274667182,100.96083856146703,88.47104943378035,76.08120644999514,30.056557554697648,20.032004103100807,0.0
2021-11-11,,,,,,,183.61546343091945,158.21286216393943,175.29182477878783,,172.86580662288395,193.16865110863225,94.09661995683655,91.17952402310536,81.23004736163692,76.15563251472479,29.348804965025856,20.04660104269117,0.0
2021-11-12,,,,,165.65785109707704,,,,,,165.32892218540334,188.64044524347105,,91.29242850787492,81.59094934688255,76.17300040475774,29.305268169313216,20.07471103801493,
2021-11-13,,,,,,,,158.41405505786923,183.3632596139675,186.81506510772616,,191.5533926812226,94.06122121127116,92.59599274601317,77.02882834557975,76.75061393891457,29.092189806549545,20.156398372288635,
2021-11-14,,,179.55086999809126,,164.27478331146207,,,,,,156.55146292096182,195.29369250521978,93.68954013249753,94.20425699579737,77.10068464727551,76.62581170242929,29.134905600680796,20.159297435843225,
2021-11-15,,,,,164.247760428928,,190.33926995931662,152.71683230049072,182.55025148756644,187.81238380636515,152.2293858714792,192.9336158377991,90.27254052883342,91.74882763425427,77.04321953884036,76.39654295988375,29.145141709521205,20.070455720248646,0.0
2021-11-16,,,,,,,,,,,,,,,79.97369375923131,,29.927709407894014,28.95818784187878,0.0
2021-11-17,,,,,158.32215255037698,176.03700550509785,189.51286176383658,,,,151.35785390771807,189.86512367553118,88.38510110681497,89.91778978238483,93.89249381265029,75.76593102677481,29.946211430684343,29.073205845913257,0.0
2021-11-18,,,,,158.6703213602158,,,144.5102607514764,,,157.00648944686486,192.46233301388045,88.39238163208276,102.07552610073269,99.02522712758773,84.43351618336877,30.71188361600158,31.848368881782186,0.0
2021-11-19,,,,,,,,,,,,,,,105.28294396205024,96.2117416090922,33.240654786244114,33.24686427826051,0.0
2021-11-20,,,,,,,,,183.3720737744561,,157.22164884399263,191.92217559636276,88.38873200870427,100.96696062240011,95.14951022081199,92.17731923298751,33.80043547217663,33.31040743707455,0.0
2021-11-21,,,,,,180.6609352719056,,,,,162.7889558625417,182.31266545460343,87.30051834588295,98.05705082692347,95.14193801393284,92.28093279039459,35.961038984645725,33.235314118858085,
