,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2022-10-12,-56.278769233948125,-97.39210752838923,14.737060990862073,441.0649575378571,22.552992105361643,-8.71116143765726,26.013392017046527,18.545486561796913,48.47932040254154,21.096228057568506,32.56601872453705,29.553588219939197,62.15253102500624,44.74720709721473
2022-10-13,-41.338217339506,349.47395850376466,-27.235738828113703,467.25996717266185,26.335347469118908,-10.69348075013985,25.018898203749846,15.25803129740929,37.55854781008928,19.114776278858837,32.598849495695255,28.118885274892214,62.07229075531557,44.0091520253565
2022-10-14,-37.78634808621955,-158.84366177700832,-49.007466160338616,395.9403628894077,12.104830876450404,-5.482563142152402,25.62036579510191,14.040396457314944,27.486949897745816,18.011660523123428,32.673245393670605,27.017071311361267,62.099223366710824,43.34101734039088
2022-10-15,-25.225235816143226,-343.1087957869044,-59.77267280711196,398.3696439953607,12.894861263011384,-5.24875611792741,21.757907718607555,15.911146330488425,29.26490929710973,18.025006997398876,32.60817301832035,26.243298873677677,62.121712587858525,42.7326817958287
2022-10-16,40.62515197202403,-173.6994449809898,-34.41241784289253,370.9204236644318,16.182303952481895,-7.658694810765167,29.096449781195577,22.72611993264744,37.84212490015639,21.327325846062493,31.45973645538758,26.90765546642726,62.313554833764705,42.44148671363633
2022-10-17,55.09336925238817,-379.834463019494,-0.6072679604693939,269.0531538650527,-21.391527164874162,0.4152985292478724,31.23390176672114,20.74574162843534,40.363534552147634,21.210312644513138,32.559488135873686,26.6111926641813,62.45706655372304,41.998490992958494
2022-10-18,33.77269917373757,-414.48241441289434,-3.8757354967827817,335.45503816703945,-21.784054121201606,-7.098375175920757,35.28331277745785,23.1451742483391,41.15274025914392,21.509281192149494,33.147492925035834,26.00332394169947,56.675415800242526,41.41168621339327
2022-10-19,-17.772498131012064,-450.2876402497674,-28.462213390578544,364.95384014063535,-27.64848816797649,-13.272326428274217,39.159254208460844,22.567626822975914,43.2513534092513,21.590621320493987,33.998639023705145,25.55571844793295,56.631654032878146,40.877567347378275
2022-10-20,12.800530022871515,-402.7996210986962,-6.36504628300931,348.7948788595513,-29.029928042065062,-11.954300010542624,35.942693571594425,18.5771062222049,39.09225136928803,19.53602000646985,33.95615616597436,24.309452627017077,56.307794811453334,40.202449830841466
2022-10-21,-9.578763832557208,-481.8175949253291,15.904738568133359,245.77724021361,-45.9488614949957,-3.12223616315023,30.786071902475797,18.650869650008964,39.65229726538422,19.224841140285132,34.14576691983816,23.77094553682601,56.39661236430336,39.681458962548774
