,BTC-USD_price,ETH-USD_price,BNB-USD_price,ADA-USD_price,SOL-USD_price
2024-03-28,70744.953125,3561.2939453125,583.2708740234375,0.6507940292358398,189.6216278076172
2024-03-29,69892.828125,3511.80615234375,612.657958984375,0.6644030213356018,192.2279510498047
2024-03-30,69645.3046875,3507.9443359375,601.016357421875,0.6443660259246826,194.3855438232422
2024-03-31,71333.6484375,3647.8564453125,606.9086303710938,0.650426983833313,202.87413024902344
2024-04-01,69702.1484375,3505.030029296875,576.3966674804688,0.6216840147972107,192.5678253173828
2024-04-02,65446.97265625,3277.234619140625,550.6814575195312,0.5809869766235352,181.17225646972656
2024-04-03,65980.8125,3311.44189453125,562.0196533203125,0.5712779760360718,185.2486114501953
2024-04-04,68508.84375,3330.04052734375,585.4415283203125,0.582955002784729,183.95811462402344
2024-04-05,67837.640625,3318.88525390625,578.9669189453125,0.5748339891433716,174.5015106201172
2024-04-06,68896.109375,3354.183837890625,585.966796875,0.5843380093574524,178.91534423828125
2024-04-07,69362.5546875,3453.49462890625,584.1021728515625,0.5894740223884583,179.6498565673828
2024-04-08,71631.359375,3695.292724609375,586.9009399414062,0.6141589879989624,180.78477478027344
2024-04-09,69139.015625,3505.163330078125,580.830322265625,0.5918930172920227,172.4136199951172
2024-04-10,70587.8828125,3543.737060546875,610.0839233398438,0.5862550139427185,173.43736267089844
2024-04-11,70060.609375,3505.247802734375,604.893798828125,0.5861909985542297,172.5763702392578
2024-04-12,67195.8671875,3243.034912109375,596.380126953125,0.5035750269889832,153.63546752929688
2024-04-13,63821.47265625,3004.900390625,554.2998046875,0.4479080140590668,139.34169006347656
2024-04-14,65738.7265625,3156.94189453125,567.2184448242188,0.4689109921455383,151.28494262695312
2024-04-15,63426.2109375,3101.600341796875,552.87451171875,0.460794985294342,138.5086212158203
2024-04-16,63811.86328125,3084.920166015625,537.829345703125,0.4586049914360046,136.27932739257812
2024-04-17,61276.69140625,2984.7275390625,534.416015625,0.4442949891090393,131.86618041992188
2024-04-18,63512.75390625,3066.027587890625,552.172119140625,0.4581440091133117,142.0823974609375
2024-04-19,63843.5703125,3059.278564453125,554.8892822265625,0.4687840044498443,142.6804962158203
2024-04-20,64994.44140625,3157.627197265625,570.9605102539062,0.5059080123901367,151.13356018066406
2024-04-21,64926.64453125,3147.28857421875,579.6199340820312,0.4992919862270355,148.60931396484375
2024-04-22,66837.6796875,3201.652099609375,605.5755004882812,0.516884982585907,157.03121948242188
2024-04-23,66407.2734375,3219.91162109375,606.8406372070312,0.5001959800720215,154.70130920410156
2024-04-24,64276.8984375,3139.80517578125,608.0861206054688,0.4749099910259247,147.74514770507812
2024-04-25,64481.70703125,3156.509521484375,614.0050048828125,0.4710200130939483,144.89212036132812
2024-04-26,63755.3203125,3130.164794921875,597.7054443359375,0.4627290070056915,139.10433959960938
2024-04-27,63419.140625,3252.168212890625,595.7205200195312,0.4670319855213165,141.28916931152344
2024-04-28,63113.23046875,3262.774658203125,600.0711669921875,0.4604740142822265,137.85641479492188
2024-04-29,63841.12109375,3215.428955078125,592.8312377929688,0.4573650062084198,137.7766571044922
2024-04-30,60636.85546875,3012.286865234375,578.488037109375,0.4408119916915893,126.96270751953124
2024-05-01,58254.01171875,2969.78466796875,561.408203125,0.4498659968376159,134.6279754638672
2024-05-02,59123.43359375,2988.16845703125,560.5267333984375,0.4582819938659668,137.81448364257812
2024-05-03,62889.8359375,3103.5419921875,587.0104370117188,0.4675439894199371,143.77255249023438
2024-05-04,63891.47265625,3117.576416015625,585.8465576171875,0.463577002286911,146.1350555419922
2024-05-05,64031.1328125,3137.2490234375,592.140380859375,0.4583339989185333,145.71302795410156
2024-05-06,63161.94921875,3062.728759765625,588.4759521484375,0.4542880058288574,152.80239868164062
2024-05-07,62334.81640625,3006.5771484375,577.4862060546875,0.4418730139732361,148.1343231201172
2024-05-08,61187.94140625,2973.6572265625,588.1974487304688,0.4525530040264129,142.29473876953125
2024-05-09,63049.9609375,3036.0205078125,596.031982421875,0.4635010063648224,152.84994506835938
2024-05-10,60792.77734375,2909.791259765625,585.6221923828125,0.4482499957084656,146.21690368652344
2024-05-11,60793.7109375,2911.60205078125,592.0278930664062,0.4388760030269623,145.3143768310547
2024-05-12,61448.39453125,2928.701904296875,594.424560546875,0.4376530051231384,143.52081298828125
2024-05-13,62901.44921875,2949.359619140625,591.60693359375,0.4365400075912475,147.28233337402344
2024-05-14,61552.7890625,2881.157958984375,566.70703125,0.428068995475769,142.0303955078125
2024-05-15,66267.4921875,3037.056640625,582.0743408203125,0.4529879987239837,158.18682861328125
2024-05-16,65231.58203125,2945.131103515625,569.1902465820312,0.4596950113773346,159.116455078125
2024-05-17,67051.875,3094.11865234375,581.1783447265625,0.4819999933242798,169.53054809570312
2024-05-18,66940.8046875,3122.948974609375,580.4811401367188,0.4824079871177673,172.5391387939453
2024-05-19,66278.3671875,3071.843017578125,574.6316528320312,0.467602014541626,170.0913543701172
2024-05-20,71448.1953125,3663.85546875,600.6163330078125,0.5017579793930054,186.5204925537109
2024-05-21,70136.53125,3789.312744140625,618.4204711914062,0.4947740137577057,178.11614990234375
2024-05-22,69122.3359375,3737.2177734375,614.671875,0.4831269979476928,176.86077880859375
2024-05-23,67929.5625,3776.92724609375,598.6708374023438,0.4653300046920776,175.98577880859375
2024-05-24,68526.1015625,3726.9345703125,600.2258911132812,0.4594939947128296,167.7969207763672
2024-05-25,69265.9453125,3749.236572265625,602.1944580078125,0.4620720148086548,168.43763732910156
2024-05-26,68518.09375,3825.8974609375,599.825927734375,0.4583750069141388,163.3509063720703
2024-05-27,69394.5546875,3892.0068359375,603.5264282226562,0.4679630100727081,169.9961395263672
2024-05-28,68296.21875,3840.25634765625,601.2132568359375,0.4569900035858154,168.65084838867188
2024-05-29,67578.09375,3763.196533203125,594.9720458984375,0.450994998216629,168.0726776123047
2024-05-30,68364.9921875,3746.849609375,595.0267944335938,0.4465810060501098,166.97653198242188
2024-05-31,67491.4140625,3760.026611328125,593.5223388671875,0.4474610090255737,165.63771057128906
2024-06-01,67706.9375,3813.198974609375,601.30419921875,0.4499750137329101,166.03067016601562
2024-06-02,67751.6015625,3780.89599609375,603.026611328125,0.4464940130710602,163.24990844726562
2024-06-03,68804.78125,3766.38916015625,626.4329833984375,0.4570359885692596,164.9234619140625
2024-06-04,70567.765625,3812.515869140625,686.201416015625,0.4614849984645843,171.8019256591797
2024-06-05,71082.8203125,3864.260986328125,698.889404296875,0.4611749947071075,173.48291015625
2024-06-06,70757.1640625,3811.60595703125,710.4640502929688,0.4581019878387451,170.01622009277344
2024-06-07,69342.5859375,3678.629150390625,683.3609619140625,0.4496429860591888,162.50704956054688
2024-06-08,69305.7734375,3680.949951171875,682.6651611328125,0.4365710020065307,157.96890258789062
2024-06-09,69647.9921875,3705.90380859375,673.3153076171875,0.4441060125827789,162.08360290527344
2024-06-10,69512.28125,3666.717529296875,624.3868408203125,0.4404610097408294,158.9280242919922
2024-06-11,67332.03125,3498.33056640625,602.55810546875,0.4218910038471222,149.42898559570312
2024-06-12,68241.1875,3559.61767578125,619.19482421875,0.4377959966659546,155.1775665283203
2024-06-13,66756.3984375,3469.28125,599.5150756835938,0.4211849868297577,147.31442260742188
2024-06-14,66011.09375,3480.27197265625,603.1805419921875,0.4116829931735992,143.0944366455078
2024-06-15,66191.0,3565.549560546875,607.8029174804688,0.4136950075626373,145.41221618652344
2024-06-16,66639.046875,3620.5634765625,610.0540161132812,0.4163790047168731,151.12550354003906
2024-06-17,66490.296875,3511.37890625,604.4673461914062,0.4017579853534698,143.3342742919922
2024-06-18,65140.74609375,3483.681396484375,588.7020874023438,0.3835799992084503,137.50399780273438
2024-06-19,64960.296875,3559.347412109375,598.771728515625,0.3837909996509552,135.60960388183594
2024-06-20,64828.65625,3511.0869140625,587.107177734375,0.3842439949512481,133.47296142578125
2024-06-21,64096.19921875,3516.07568359375,585.9119262695312,0.3760519921779632,134.5883026123047
2024-06-22,64252.578125,3494.8134765625,590.7633666992188,0.3848119974136352,133.6702423095703
2024-06-23,63180.796875,3418.61181640625,577.2108764648438,0.3803029954433441,128.59042358398438
2024-06-24,60277.4140625,3350.25634765625,567.578125,0.3777649998664856,132.24139404296875
2024-06-25,61804.640625,3395.029052734375,578.1034545898438,0.3918589949607849,136.5592041015625
