,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
stocks_QQQ_ETF_exp_vol_5d,-0.01152909518966444,-0.06453711551777701,0.10520178162431905,-0.08453381783558678,0.17781596615376993,2.0,5.0,7.0
stocks_QQQ_ETF_realized_vol_10d,0.015148015483811759,0.013313943431237193,0.061886018290158135,-0.07289469462353416,0.13450484442465083,4.0,3.0,7.0
stocks_QQQ_ETF_exp_vol_10d,-0.00294486504704869,-0.012621339814199401,0.06617908548720447,-0.06606301032417423,0.13472055801422989,2.0,5.0,7.0
stocks_QQQ_ETF_realized_vol_20d,0.004991568063243044,-0.002574404912911457,0.03361791683544137,-0.042139042010927996,0.04755516855857786,3.0,4.0,7.0
stocks_QQQ_ETF_exp_vol_20d,-0.012110042285016736,-0.03346081180916596,0.04778343562395385,-0.052823743593605615,0.08074012134458602,3.0,4.0,7.0
stocks_QQQ_ETF_realized_vol_60d,0.0129437351711821,0.004960926628202006,0.019260547417247312,-0.0042804809375060334,0.050637274129302516,4.0,3.0,7.0
stocks_QQQ_ETF_exp_vol_60d,0.0061010936872043274,-0.0035453498943797284,0.029250155294105615,-0.01806512058801868,0.06207151016789635,3.0,4.0,7.0
stocks_IWM_ETF_realized_vol_5d,-0.027066716606837692,-0.038261895337763474,0.07588615790944189,-0.13100337135509296,0.05659843394433143,3.0,4.0,7.0
stocks_IWM_ETF_exp_vol_5d,0.021649309396216215,-0.009871185734560292,0.10423604661373156,-0.08268567495435192,0.16738708703492436,3.0,4.0,7.0
stocks_IWM_ETF_realized_vol_10d,0.0485318602980738,0.03596368871610816,0.07070877121233529,-0.02041665304911295,0.1852575144749143,5.0,1.0,6.0
stocks_IWM_ETF_exp_vol_10d,0.028944852339296674,0.001007833662932861,0.07968574430069822,-0.051805820208866066,0.14058304669644356,5.0,2.0,7.0
stocks_IWM_ETF_realized_vol_20d,0.04367605773844686,0.04467062591137158,0.059753590708147744,-0.02087403152453818,0.12239569808044931,5.0,2.0,7.0
stocks_IWM_ETF_exp_vol_20d,0.049188599069017395,0.0126733944817648,0.07012865450271313,-0.04345046376010881,0.13544565772777006,6.0,1.0,7.0
stocks_IWM_ETF_realized_vol_60d,0.01684275780005376,0.014658092733558455,0.019137872046422602,-0.004854127438721184,0.039981999151111114,5.0,2.0,7.0
stocks_IWM_ETF_exp_vol_60d,0.021276900145557637,0.007425049998969965,0.030486500718162373,-0.012310457095542246,0.054059721147433966,5.0,2.0,7.0
stocks_VTI_ETF_realized_vol_5d,-0.09247818894333915,-0.09954180593683988,0.08326097109398203,-0.21462702841481596,0.0015481776995506652,1.0,5.0,6.0
stocks_VTI_ETF_exp_vol_5d,-0.0189036208030202,-0.0470464619705437,0.06137300706446774,-0.07465433085539278,0.10277938499458812,3.0,4.0,7.0
stocks_VTI_ETF_realized_vol_10d,-0.021566288255247177,-0.009238423755999474,0.07134532270276041,-0.17115998909571414,0.060876154511864164,2.0,5.0,7.0
stocks_VTI_ETF_exp_vol_10d,-0.0019021995402095178,-0.02881431985606078,0.05378180533540596,-0.05386958404087503,0.09031603376542766,3.0,4.0,7.0
stocks_VTI_ETF_realized_vol_20d,0.027888107022022792,0.012324205205247126,0.037413462116457775,-0.012053727991126795,0.07651097206041677,5.0,2.0,7.0
stocks_VTI_ETF_exp_vol_20d,0.011895790312315349,-0.009586810404558374,0.042659359844563885,-0.03235265173248192,0.0734433171070216,3.0,4.0,7.0
stocks_VTI_ETF_realized_vol_60d,0.013541171774310691,0.003575818968506709,0.015842577094846433,-0.002320483391827303,0.03806120777119043,6.0,1.0,7.0
stocks_VTI_ETF_exp_vol_60d,0.013042211277424288,-0.000563917317581265,0.02426825286752881,-0.010688630066177915,0.04747132343104991,3.0,4.0,7.0
stocks_VIX_realized_vol_5d,-0.021233522183980842,-0.05288887076334026,0.06343465118535764,-0.073319013641468,0.06157202057310249,2.0,3.0,5.0
stocks_VIX_exp_vol_5d,0.027335189135362536,-0.01422611879809823,0.12825608029902258,-0.08287312449534266,0.24126828340688106,3.0,3.0,6.0
stocks_VIX_realized_vol_10d,0.01913146040187952,0.06566429266712848,0.11310296740612308,-0.13876437530051688,0.15429031976790564,5.0,2.0,7.0
stocks_VIX_exp_vol_10d,0.06567979133081912,0.05227606817681151,0.10397177501538535,-0.03154914634271268,0.23258518161686137,4.0,2.0,6.0
stocks_VIX_realized_vol_20d,0.05624867186982925,0.028485285744794194,0.05106384692307745,0.002400740797429215,0.1423225823029422,7.0,0.0,7.0
stocks_VIX_exp_vol_20d,0.05655319409110658,0.06523469796019132,0.058820240019588944,-0.0032508286487147285,0.1300335985938343,5.0,2.0,7.0
stocks_VIX_realized_vol_60d,0.01525177075774401,0.009756926475339368,0.010800530275359661,0.004626979730745716,0.03501371350135514,7.0,0.0,7.0
stocks_VIX_exp_vol_60d,0.014400771292633438,0.008331032155600413,0.017018143066917943,-0.00040524779509923175,0.041539547347551845,6.0,1.0,7.0
stocks_DXY_realized_vol_20d,0.02982124696116595,-0.007870126617701964,0.1179845383325775,-0.08686638844530928,0.1964999838590762,2.0,5.0,7.0
stocks_DXY_realized_vol_60d,0.01250417971306565,-0.005797576070231684,0.04546852310245449,-0.03408107317969201,0.07752825604787371,2.0,5.0,7.0
stocks_DXY_exp_vol_60d,0.02449842878997899,-0.02171289190658792,0.08169026126251212,-0.03250233089358914,0.14316274878842938,2.0,5.0,7.0
stocks_GOLD_realized_vol_60d,0.03229147503363709,0.018720480358855384,0.045694132600278714,-0.02365997901382541,0.09535029576232658,6.0,1.0,7.0
stocks_GOLD_exp_vol_60d,0.05039614604408,-0.0020485810160079726,0.09423909441308244,-0.019655441673816935,0.1870380890869281,3.0,4.0,7.0
stocks_OIL_realized_vol_5d,0.046627941513036474,0.06291656754040192,0.12724737126919458,-0.1753862370141158,0.1631836157016543,5.0,1.0,6.0
stocks_OIL_exp_vol_5d,0.05821252153103947,0.10596751005365593,0.1056247382357842,-0.12888343808121264,0.11669373764199638,4.0,1.0,5.0
stocks_OIL_realized_vol_10d,0.008559824009121714,-0.04291408803486846,0.09613940761958395,-0.0754853751202551,0.17354435386286124,3.0,4.0,7.0
stocks_OIL_exp_vol_10d,-0.003767886810602887,-0.026921341810179994,0.09262767766546252,-0.12088000309721292,0.16060306338701869,2.0,4.0,6.0
stocks_OIL_realized_vol_20d,-0.00491991875236268,-0.02348706502523912,0.05715139972858207,-0.05573876619950125,0.1163529825989871,2.0,5.0,7.0
